TIME [s]	Accel. [cm/s^2
23.78	-58.520
23.80	-38.057
23.82	-11.478
23.84	0.499
23.86	4.367
23.88	8.614
23.90	22.352
23.92	42.165
23.94	59.974
23.96	74.492
23.98	79.109
24.00	67.500
24.02	57.684
24.04	55.993
24.06	49.295
24.08	32.355
24.10	8.285
24.12	-12.298
24.14	-19.854
24.16	-16.806
24.18	-13.760
24.20	-21.008
24.22	-31.235
24.24	-28.567
24.26	-18.548
24.28	-7.398
24.30	5.220
24.32	21.496
24.34	26.298
24.36	22.036
24.38	21.630
24.40	17.312
24.42	12.352
24.44	10.515
24.46	13.541
24.48	19.005
24.50	23.541
24.52	23.126
24.54	18.517
24.56	25.080
24.58	41.021
24.60	53.117
24.62	50.017
24.64	28.088
24.66	13.887
24.68	13.638
24.70	15.429
24.72	16.285
24.74	11.870
24.76	5.365
24.78	6.930
24.80	15.352
24.82	19.979
24.84	21.915
24.86	17.735
24.88	7.081
24.90	1.632
24.92	6.942
24.94	18.894
24.96	25.805
24.98	22.028
25.00	5.147
25.02	-20.803
25.04	-32.347
25.06	-27.091
25.08	-21.019
25.10	-14.787
25.12	-11.513
25.14	-20.334
25.16	-38.069
25.18	-47.051
25.20	-45.073
25.22	-44.008
25.24	-44.706
25.26	-38.407
25.28	-28.066
25.30	-17.058
25.32	-3.629
25.34	6.596
25.36	9.844
25.38	6.519
25.40	-3.537
25.42	-19.896
25.44	-33.549
25.46	-32.877
25.48	-14.191
25.50	1.715
25.52	-3.454
25.54	-17.135
25.56	-25.550
25.58	-21.221
25.60	-5.224
25.62	11.704
25.64	12.277
25.66	-1.027
25.68	-8.007
25.70	-9.005
25.72	-13.354
25.74	-18.962
25.76	-20.030
25.78	-26.563
25.80	-36.280
25.82	-28.869
25.84	-6.352
25.86	-1.321
25.88	-8.054
25.90	-6.447
25.92	-6.028
25.94	-4.797
25.96	0.571
25.98	4.961
26.00	-5.689
26.02	-25.768
26.04	-34.649
26.06	-37.150
26.08	-34.004
26.10	-25.321
26.12	-28.469
26.14	-38.192
26.16	-41.243
26.18	-42.160
26.20	-47.260
26.22	-47.903
26.24	-37.820
26.26	-24.154
26.28	-10.549
26.30	5.523
26.32	16.053
